(0, 0, 0, 0, 0)	0.0
(0, 0, 0, 0, 1)	353.4
(0, 0, 0, 0, 2)	0.0
(0, 0, 0, 1, 0)	438.1
(0, 0, 0, 1, 1)	692.5
(0, 0, 0, 1, 2)	441.7
(0, 0, 0, 2, 0)	0.0
(0, 0, 0, 2, 1)	304.4
(0, 0, 0, 2, 2)	0.0
(0, 0, 1, 0, 0)	544.6
(0, 0, 1, 0, 1)	1083.1
(0, 0, 1, 0, 2)	547.4
(0, 0, 1, 1, 0)	1243.6
(0, 0, 1, 1, 1)	1393.1
(0, 0, 1, 1, 2)	1101.1
(0, 0, 1, 2, 0)	749.4
(0, 0, 1, 2, 1)	957.5
(0, 0, 1, 2, 2)	760.1
(0, 0, 2, 0, 0)	0.0
(0, 0, 2, 0, 1)	288.6
(0, 0, 2, 0, 2)	0.0
(0, 0, 2, 1, 0)	442.0
(0, 0, 2, 1, 1)	805.2
(0, 0, 2, 1, 2)	557.5
(0, 0, 2, 2, 0)	0.0
(0, 0, 2, 2, 1)	290.1
(0, 0, 2, 2, 2)	0.0
(0, 1, 0, 0, 0)	546.6
(0, 1, 0, 0, 1)	847.7
(0, 1, 0, 0, 2)	681.4
(0, 1, 0, 1, 0)	1167.6
(0, 1, 0, 1, 1)	1526.8
(0, 1, 0, 1, 2)	1090.0
(0, 1, 0, 2, 0)	708.3
(0, 1, 0, 2, 1)	1063.9
(0, 1, 0, 2, 2)	695.9
(0, 1, 1, 0, 0)	1267.6
(0, 1, 1, 0, 1)	1473.3
(0, 1, 1, 0, 2)	1368.2
(0, 1, 1, 1, 0)	1900.3
(0, 1, 1, 1, 1)	1968.9
(0, 1, 1, 1, 2)	1685.5
(0, 1, 1, 2, 0)	1227.1
(0, 1, 1, 2, 1)	1466.7
(0, 1, 1, 2, 2)	1258.6
(0, 1, 2, 0, 0)	571.0
(0, 1, 2, 0, 1)	863.4
(0, 1, 2, 0, 2)	579.9
(0, 1, 2, 1, 0)	1044.9
(0, 1, 2, 1, 1)	1181.4
(0, 1, 2, 1, 2)	1004.8
(0, 1, 2, 2, 0)	662.8
(0, 1, 2, 2, 1)	910.7
(0, 1, 2, 2, 2)	583.2
(0, 2, 0, 0, 0)	0.0
(0, 2, 0, 0, 1)	392.3
(0, 2, 0, 0, 2)	0.0
(0, 2, 0, 1, 0)	453.8
(0, 2, 0, 1, 1)	659.8
(0, 2, 0, 1, 2)	407.4
(0, 2, 0, 2, 0)	0.0
(0, 2, 0, 2, 1)	301.4
(0, 2, 0, 2, 2)	0.0
(0, 2, 1, 0, 0)	762.4
(0, 2, 1, 0, 1)	839.5
(0, 2, 1, 0, 2)	700.4
(0, 2, 1, 1, 0)	1241.4
(0, 2, 1, 1, 1)	1418.1
(0, 2, 1, 1, 2)	1041.9
(0, 2, 1, 2, 0)	612.3
(0, 2, 1, 2, 1)	929.1
(0, 2, 1, 2, 2)	507.5
(0, 2, 2, 0, 0)	0.0
(0, 2, 2, 0, 1)	263.2
(0, 2, 2, 0, 2)	0.0
(0, 2, 2, 1, 0)	409.5
(0, 2, 2, 1, 1)	843.4
(0, 2, 2, 1, 2)	395.6
(0, 2, 2, 2, 0)	0.0
(0, 2, 2, 2, 1)	329.3
(0, 2, 2, 2, 2)	0.0
(1, 0, 0, 0, 0)	905.1
(1, 0, 0, 0, 1)	1142.6
(1, 0, 0, 0, 2)	883.3
(1, 0, 0, 1, 0)	1239.6
(1, 0, 0, 1, 1)	1750.9
(1, 0, 0, 1, 2)	1245.8
(1, 0, 0, 2, 0)	924.5
(1, 0, 0, 2, 1)	1136.6
(1, 0, 0, 2, 2)	828.2
(1, 0, 1, 0, 0)	1426.7
(1, 0, 1, 0, 1)	1578.5
(1, 0, 1, 0, 2)	1442.6
(1, 0, 1, 1, 0)	2007.6
(1, 0, 1, 1, 1)	1996.2
(1, 0, 1, 1, 2)	1746.5
(1, 0, 1, 2, 0)	1417.4
(1, 0, 1, 2, 1)	1631.1
(1, 0, 1, 2, 2)	1406.9
(1, 0, 2, 0, 0)	889.7
(1, 0, 2, 0, 1)	1072.4
(1, 0, 2, 0, 2)	844.3
(1, 0, 2, 1, 0)	1233.9
(1, 0, 2, 1, 1)	1459.1
(1, 0, 2, 1, 2)	1336.8
(1, 0, 2, 2, 0)	838.8
(1, 0, 2, 2, 1)	1169.8
(1, 0, 2, 2, 2)	836.7
(1, 1, 0, 0, 0)	1489.2
(1, 1, 0, 0, 1)	1616.2
(1, 1, 0, 0, 2)	1320.4
(1, 1, 0, 1, 0)	1825.7
(1, 1, 0, 1, 1)	2181.1
(1, 1, 0, 1, 2)	1766.3
(1, 1, 0, 2, 0)	1631.4
(1, 1, 0, 2, 1)	1616.5
(1, 1, 0, 2, 2)	1583.1
(1, 1, 1, 0, 0)	1942.1
(1, 1, 1, 0, 1)	2166.1
(1, 1, 1, 0, 2)	1992.7
(1, 1, 1, 1, 0)	2329.2
(1, 1, 1, 1, 1)	2452.2
(1, 1, 1, 1, 2)	2485.6
(1, 1, 1, 2, 0)	2038.9
(1, 1, 1, 2, 1)	2106.1
(1, 1, 1, 2, 2)	1969.7
(1, 1, 2, 0, 0)	1452.5
(1, 1, 2, 0, 1)	1699.3
(1, 1, 2, 0, 2)	1375.6
(1, 1, 2, 1, 0)	1828.3
(1, 1, 2, 1, 1)	1930.0
(1, 1, 2, 1, 2)	1782.1
(1, 1, 2, 2, 0)	1358.4
(1, 1, 2, 2, 1)	1556.4
(1, 1, 2, 2, 2)	1306.8
(1, 2, 0, 0, 0)	832.5
(1, 2, 0, 0, 1)	1222.1
(1, 2, 0, 0, 2)	841.8
(1, 2, 0, 1, 0)	1355.9
(1, 2, 0, 1, 1)	1435.3
(1, 2, 0, 1, 2)	1171.6
(1, 2, 0, 2, 0)	883.8
(1, 2, 0, 2, 1)	1252.7
(1, 2, 0, 2, 2)	787.8
(1, 2, 1, 0, 0)	1389.5
(1, 2, 1, 0, 1)	1711.2
(1, 2, 1, 0, 2)	1507.8
(1, 2, 1, 1, 0)	1824.0
(1, 2, 1, 1, 1)	1989.7
(1, 2, 1, 1, 2)	1751.6
(1, 2, 1, 2, 0)	1407.0
(1, 2, 1, 2, 1)	1608.0
(1, 2, 1, 2, 2)	1402.5
(1, 2, 2, 0, 0)	736.9
(1, 2, 2, 0, 1)	1032.0
(1, 2, 2, 0, 2)	894.5
(1, 2, 2, 1, 0)	1192.9
(1, 2, 2, 1, 1)	1421.4
(1, 2, 2, 1, 2)	1225.7
(1, 2, 2, 2, 0)	876.0
(1, 2, 2, 2, 1)	1103.3
(1, 2, 2, 2, 2)	803.6
(2, 0, 0, 0, 0)	0.0
(2, 0, 0, 0, 1)	271.9
(2, 0, 0, 0, 2)	0.0
(2, 0, 0, 1, 0)	409.2
(2, 0, 0, 1, 1)	696.7
(2, 0, 0, 1, 2)	384.8
(2, 0, 0, 2, 0)	0.0
(2, 0, 0, 2, 1)	334.8
